GroupName,DisplayName,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru,pt-br,uk,it,th,tr,sv
Brows,Brows,Brows,眉毛,眉毛,Augenbrauen,Cejas,Sourcils,Szemöldök,眉,눈썹,Брови,Sobrancelha,Брови,Sopracciglia,คิ้ว,Kaşlar,Bryn
Ear,Ear,Ear,耳朵,耳朵,Ohr,Oreja,Oreille,Fül,耳,귀,Ухо,Orelha,вухо,Orecchio,หู,Kulaklar,Öra
Eye,Eye,Eye,眼睛,眼睛,Auge,Ojo,Œil,Szem,目,눈,Глаз,Olho,Око,Occhio,ตา,Gözler,Öga
BaseHair,Base Hair,Base Hair,基础头发,基礎頭髮,Basishaare,Cabello Base,Cheveux de base,Alaphaj,髪ベース,기본 두상,Базовые волосы,Cabelo Base,Базове волосся,Capelli di base,ฐานผม,Saç Hattı,Bashår
HairBangLeft,Hair Bang >>,Hair Bang >>,头发 刘海 >>,頭髮 瀏海 >>,Pony >>,Flequillo de pelo >>,Frange de cheveux >>,Hair Bang >>,前髪 >>,앞머리 >>,Челка >>,Franja >>,Чубчик для волосся >>,Frangia ai capelli >>,ผมหน้าม้า >>,Kahkül >>,Hair Bang >>
HairBangMiddle,Hair Bang ><,Hair Bang ><,头发 刘海 ><,頭髮 瀏海 ><,Pony ><,Flequillo de pelo ><,Frange de cheveux ><,Hair Bang ><,前髪 中央,앞머리 ><,Челка для волос ><,Franja ><,Чубчик для волосся ><,Frangia ai capelli ><,ผมหน้าม้า ><,Kahkül ><,Hair Bang ><
HairBangRight,Hair Bang <<,Hair Bang <<,头发 刘海 <<,頭髮 瀏海 <<,Pony <<,Flequillo de pelo <<,Frange de cheveux <<,Hair Bang <<,前髪 <<,앞머리 <<,Челка для волос <<,Franja <<,Чубчик для волосся <<,Frangia ai capelli <<,ผมหน้าม้า <<,Kahkül <<,Hair Bang <<
HairShine,Hair Shine,Hair Shine,头发 高光,頭髮 高光,Haarglanz,Brillo del cabello,Brillance des cheveux,Hajfény,髪ツヤ,머리 하이라이트,Сияние волос,Brilho do Cabelo,Блиск волосся,Lucentezza dei capelli,ไฮไลต์ผม,Saç Parıltısı,Hårglans
FrameHairBranchL,Hair Branch >>,Hair Branch >>,头发 分叉 >>,頭髮 分叉 >>,Haarzweig >>,Rama de pelo >>,Branche de cheveux >>,Hajág >>,髪ハネ >>,머리 가닥 >>,Прядь волос >>,Mechas Laterais >>,Волоссяна гілка >>,Ramo di capelli >>,ปอยผม >>,Saç Kalkıklığı >>,Hårgren >>
FrameHairBranchR,Hair Branch <<,Hair Branch <<,头发 分叉 <<,頭髮 分叉 <<,Haarzweig <<,Rama de cabello <<,Branche de cheveux <<,Hajág <<,髪ハネ <<,머리 가닥 <<,Прядь волос <<,Mechas Laterais >>,Волосся Гілка <<,Ramo di capelli <<,ปอยผม <<,Saç Kalkıklığı<<,Hårgren <<
FrameHairL,Hair Framing >>,Hair Framing >>,头发 脸颊 >>,頭髮 臉頰 >>,Seitensträhnen >>,Enmarcado del cabello >>,Encadrement des cheveux >>,Hajkeretezés >>,顔まわり髪 >>,옆머리 >>,Локоны волос >>,Mechas do Rosto >>,Обрамлення волосся >>,Inquadratura dei capelli >>,ผมด้านข้าง >>,Saç Ucu >>,Hårinramning >>
FrameHairR,Hair Framing <<,Hair Framing <<,头发 脸颊 <<,頭髮 臉頰 <<,Seitensträhnen <<,Enmarcado del cabello <<,Encadrement des cheveux <<,Hajkeretezés <<,顔まわり髪 <<,옆머리 <<,Локоны волос <<,Mechas do Rosto <<,Обрамлення волосся <<,Inquadratura dei capelli <<,ผมด้านข้าง <<,Saç Ucu <<,Hårinramning <<
FrameHair,Hair Framing,Hair Framing,头发 脸颊两侧,頭髮 臉頰兩側,Seitensträhnen,Encuadre del cabello,Encadrement des cheveux,Hajkeretezés,顔まわり髪,옆머리,Локоны волос,Mechas do Rosto ,Обрамлення волосся,Inquadratura dei capelli,ผมด้านข้าง,Saç Ucu,Hår inramning
HairHighlightLeft1,Hair Highlight 1 >>,Hair Highlight 1 >>,挑染 1 >>,挑染 1 >>,Haar Highlight 1 >>,Destacado del cabello 1 >>,Mèches de cheveux 1 >>,Hajkiemelés 1 >>,髪ハイライト1 >>,머리 브릿지 1 >>,Торчащий волос 1 >>,Mechas do Cabelo 1 >>,Мелірування волосся 1 >>,Punti salienti dei capelli 1 >>,ชิ้นส่วนผม 1 >>,Saç Detayı 1 >>,Hårhöjdpunkt 1 >>
HairHighlightLeft2,Hair Highlight 2 >>,Hair Highlight 2 >>,挑染 2 >>,挑染 2 >>,Haar Highlight 2 >>,Destacado del cabello 2 >>,Mèches de cheveux 2 >>,Hajkiemelés 2 >>,髪ハイライト2 >>,머리 브릿지 2 >>,Торчащий волос 2 >>,Mechas do Cabelo 2 >>,Мелірування волосся 2 >>,Capelli in evidenza 2 >>,ชิ้นส่วนผม 2 >>,Saç Detayı 2 >>,Hårhöjdpunkt 2 >>
HairHighlightLeft3,Hair Highlight 3 >>,Hair Highlight 3 >>,挑染 3 >>,挑染 3 >>,Haar Highlight 3 >>,Destacado del cabello 3 >>,Mèches de cheveux 3 >>,Hajkiemelés 3 >>,髪ハイライト3 >>,머리 브릿지 3 >>,Торчащий волос 3 >>,Mechas do Cabelo 3 >>,Мелірування волосся 3 >>,Capelli in evidenza 3 >>,ชิ้นส่วนผม 3 >>,Saç Detayı 3 >>,Hårhöjdpunkt 3 >>
HairHighlightMiddle1,Hair Highlight 1 ><,Hair Highlight 1 ><,挑染 1 ><,挑染 1 ><,Haar Highlight 1 ><,Destacado del cabello 1 ><,Mèches de cheveux 1 ><,Hajkiemelés 1 ><,髪ハイライト1 中央,머리 브릿지 1 ><,Торчащий волос 1 ><,Mechas do Cabelo 1 ><,Мелірування волосся 1 ><,Capelli evidenziati 1 ><,ชิ้นส่วนผม 1 ><,Saç Detayı ><,Hårhöjdpunkt 1 ><
HairHighlightMiddle2,Hair Highlight 2 ><,Hair Highlight 2 ><,挑染 2 ><,挑染 2 ><,Haar Highlight 2 ><,Destacado del cabello 2 ><,Mèches de cheveux 2 ><,Hajkiemelés 2 ><,髪ハイライト2 中央,머리 브릿지 2 ><,Торчащий волос 2 ><,Mechas do Cabelo 2 ><,Мелірування волосся 2 ><,Capelli evidenziati 2 ><,ชิ้นส่วนผม 2 ><,Saç Detayı ><,Hair Highlight 2 ><
HairHighlightMiddle3,Hair Highlight 3 ><,Hair Highlight 3 ><,挑染 3 ><,挑染 3 ><,Haar Highlight 3 ><,Destacado del cabello 3 ><,Mèches de cheveux 3 ><,Hajkiemelés 3 ><,髪ハイライト3 中央,머리 브릿지 3 ><,Торчащий волос 3 ><,Mechas do Cabelo 3 ><,Мелірування волосся 3 ><,Capelli evidenziati 3 ><,ชิ้นส่วนผม 3 ><,Saç Detayı ><,Hair Highlight 3 ><
HairHighlightMiddle4,Hair Highlight 4 ><,Hair Highlight 4 ><,挑染 4 ><,挑染 4 ><,Haar Highlight 4 ><,Resaltado del cabello 4 ><,Mèches de cheveux 4 ><,Hajkiemelés 4 ><,髪ハイライト4 中央,머리 브릿지 4 ><,Торчащий волос 4 ><,Mechas do Cabelo 4 ><,Мелірування волосся 4 ><,Capelli evidenziati 4 ><,ชิ้นส่วนผม 4 ><,Saç Detayı ><,Hair Highlight 4 ><
HairHighlightMiddle5,Hair Highlight 5 ><,Hair Highlight 5 ><,挑染 5 ><,挑染 5 ><,Haar Highlight 5 ><,Destacado del cabello 5 ><,Mèches de cheveux 5 ><,Hajkiemelés 5 ><,髪ハイライト5 中央,머리 브릿지 5 ><,Торчащий волос 5 ><,Mechas do Cabelo 5 ><,Мелірування волосся 5 ><,Capelli evidenziati 5 ><,ชิ้นส่วนผม 5 ><,Saç Detayı ><,Hårhöjdpunkt 5 ><
HairHighlightMiddle6,Hair Highlight 6 ><,Hair Highlight 6 ><,挑染 6 ><,挑染 6 ><,Haar Highlight 6 ><,Destacado del cabello 6 ><,Mèches de cheveux 6 ><,Hajkiemelés 6 ><,髪ハイライト6 中央,머리 브릿지 6 ><,Торчаний волос 6 ><,Mechas do Cabelo 6 ><,Мелірування волосся 6 ><,Capelli evidenziati 6 ><,ชิ้นส่วนผม 6 ><,Saç Detayı ><,Hair Highlight 6 ><
HairHighlightRight1,Hair Highlight 1 <<,Hair Highlight 1 <<,挑染 1 <<,挑染 1 <<,Haar Highlight 1 <<,Destacado del cabello 1 <<,Mèches de cheveux 1 <<,Hajkiemelés 1 <<,髪ハイライト1 <<,머리 브릿지 1 <<,Торчаний волос  1 <<,Mechas do Cabelo 1 <<,Мелірування волосся 1 <<,Capelli in evidenza 1 <<,ชิ้นส่วนผม 1 <<,Saç Detayı <<,Hårhöjdpunkt 1 <<
HairHighlightRight2,Hair Highlight 2 <<,Hair Highlight 2 <<,挑染 2 <<,挑染 2 <<,Haar Highlight 2 <<,Destacado del cabello 2 <<,Mèches de cheveux 2 <<,Hajkiemelés 2 <<,髪ハイライト2 <<,머리 브릿지 2 <<,Торчаний волос  2 <<,Mechas do Cabelo 2 <<,Мелірування волосся 2 <<,Capelli in evidenza 2 <<,ชิ้นส่วนผม 2 <<,Saç Detayı <<,Hair Highlight 2 <<
HairHighlightRight3,Hair Highlight 3 <<,Hair Highlight 3 <<,挑染 3 <<,挑染 3 <<,Haar Highlight 3 <<,Destacado del cabello 3 <<,Mèches de cheveux 3 <<,Hajkiemelés 3 <<,髪ハイライト3 <<,머리 브릿지 3 <<,Торчаний волос 3 <<,Mechas do Cabelo 3 <<,Мелірування волосся 3 <<,Capelli in evidenza 3 <<,ชิ้นส่วนผม 3 <<,Saç Detayı <<,Hair Highlight 3 <<
SideHair,Hair Side,Hair Side,头发 侧面,頭髮 側面,Haar Seiten,Lado del cabello,Côté cheveux,Hajoldal,横髪,옆머리(전체),Боковые волосы,Cabelo Lateral,Сторона волосся,Lato dei capelli,ผมด้านข้าง,Saçın Yanı,Hårsida
Ahoge,Hair Ahoge,Hair Ahoge,头发 呆毛,頭髮 呆毛,Haare Ahoge,pelo ahogado,Cheveux Ahoge,Haj Ahoge,アホ毛,바보털,Ахоге волос,Cabelo Ahoge,Волосся Ahoge,Capelli Ahoge,ผม Ahoge,Ahoge Saçı,Hår Ahoge
BackHair,Hair Rear,Hair Rear,头发 后侧,頭髮 後側,Haare hinten,pelo trasero,Cheveux arrière,Haj Hátsó,後ろ髪,뒷머리,Задние волосы,Cabelo de Trás,Волосся ззаду,Capelli posteriori,ผมด้านหลัง,Saçın Arkası,Hår bak
PigtailLeft,Hair Pigtail >>,Hair Pigtail >>,头发 马尾 >>,頭髮 馬尾 >>,Haarzopf >>,Coleta de pelo >>,Queue de cochon >>,Haj Pigtail >>,おさげ >>,양갈래 머리 >>,Хвостики >>,Rabo de cavalo >>,Косичка для волосся >>,Codino per capelli >>,มัดผม >>,Saç Topuzu >>,Hår Pigtail >>
PigtailRight,Hair Pigtail <<,Hair Pigtail <<,头发 马尾 <<,頭髮 馬尾 <<,Haarzopf <<,Coleta de pelo <<,Queue de cochon <<,Haj Pigtail <<,おさげ <<,양갈래 머리 <<,Хвостики <<,Rabo de cavalo <<,Косичка для волосся <<,Codino per capelli <<,มัดผม <<,Saç Topuzu <<,Hår Pigtail <<
AnimalEar,Animal Ear,Animal Ear,兽耳,獸耳,Tierohr,oreja de animal,Oreille d'animal,Állati fül,ケモ耳,동물 귀,Звериные уши,Orelhas de Animal,Вухо тварин,Orecchio animale,หูสัตว์,Hayvan Kulağı,Djurens öra
Antenna,Antenna,Antenna,触角,觸角,Antenne,Antena,Antenne,Antenna,アンテナ,안테나,Антенна,Antena,антена,Antenna,หนวดแมลง,Anten,Antenn
Fin,Fin,Fin,鳍,鰭,Flosse,Aleta,Ailette,Uszony,ヒレ,지느러미,Плавники,Barbatana,фін,Fin,ครีบ,Yüzgeç,Fena
Gill,Gill,Gill,腮,鰓,Kieme,Branquia,Gil,Kopoltyú,エラ,아가미,Жабры аксолотля,Brânquia,Гілл,Gill,เหงือก,Solungaç,Gill
Glasses,Glasses,Glasses,眼镜,眼鏡,Brille,Anteojos,Lunettes,Szemüveg,メガネ,안경,Очки,Óculos,Окуляри,Occhiali,แว่นตา,Gözlük,Glasögon
HairbandA,Hairband A,Hairband A,发带 A,髮帶 A,Haarband A,Diadema A,Bandeau A,Hajpánt A,ヘアバンドA,머리띠 A,Банты А,Faixa de Cabelo A,Гумка для волосся А,Fascia per capelli A,ที่คาดผม A,Saç Bandı A,Hårband A
HairbandB,Hairband B,Hairband B,发带 B,髮帶 B,Haarband B,Diadema B,Bandeau B,Hajpánt B,ヘアバンドB,머리띠 B,Повязки на голову Б,Faixa de Cabelo B,Гумка для волосся Б,Fascia per capelli B,ที่คาดผม B,Saç Bandı B,Hårband B
HairbandC,Hairband C,Hairband C,发带 C,髮帶 C,Haarband C,Diadema C,Bandeau C,Hajpánt C,ヘアバンドC,머리띠 C,Ободок С,Faixa de Cabelo C,Гумка для волосся C,Fascia per capelli C,ที่คาดผม C,Saç Bandı C,Hårband C
HairbandD,Hairband D,Hairband D,发带 D,髮帶 D,Haarband D,Diadema D,Bandeau D,Hajpánt D,ヘアバンドD,머리띠 D,Бант сзади D,Faixa de Cabelo D,Гумка для волосся D,Fascia per capelli D,ที่คาดผม D,Saç Bandı D,Hårband D
HairClipLeft,Hair Clip >>,Hair Clip >>,发夹 >>,髮夾 >>,Haarspange >>,Pinza para el pelo >>,Pince à cheveux >>,Hajcsipesz >>,ヘアクリップ >>,머리핀 >>,Заколка >>,Grampo de Cabelo >>,Заколка для волосся >>,Fermaglio per capelli >>,กิ๊บติดผม >>,Saç Tokası >>,Hårklämma >>
HairClipRight,Hair Clip <<,Hair Clip <<,发夹 <<,髮夾 <<,Haarspange <<,Pinza para el pelo <<,Pince à cheveux <<,Hajcsat <<,ヘアクリップ <<,머리핀 <<,Заколка <<,Grampo de Cabelo <<,Заколка для волосся <<,Fermacapelli <<,กิ๊บติดผม <<,Saç Tokası <<,Hårklämma <<
Halo,Halo,Halo,光环,光環,Heiligenschein,Halo,Halo,Halo,天使の輪,헤일로,Нимб,Auréola,Ореол,Alone,Halo,Hale,Halo
Hat,Hat,Hat,帽子,帽子,Hut,Sombrero,Chapeau,Kalap,帽子,모자,Шляпа,Chapéu,Капелюх,Cappello,หมวก,Şapka,Hatt
HeadWing,Ear Wing,Ear Wing,翅膀耳朵,翅膀耳朵,Ohrflügel,Ala de oreja,Aile d'oreille,Fülszárny,耳羽,날개 귀,Крыло-ухо,Asa de Orelha,Вухо Крило,Ala dell'orecchio,หูปีก,Kulak Kanadı,Öronvinge
Horn,Horn,Horn,角,角,Horn,Bocina,Corne,Kürt,角,뿔,Рог,Chifre,Горн,Corno,เขา,Boynuz,Horn
HornFrontMiddle,Horn Front ><,Horn Front ><,角 前 ><,角 前 ><,Horn vorne ><,Frente de bocina ><,Corne avant ><,Kürt Elöl ><,角 前中央,뿔 (앞) ><,Рога спереди ><,Chifre Frontal  ><,Ріг спереду ><,Clacson anteriore ><,เขาด้านหน้า ><,Ön Boynuz ><,Horn Front ><
HornFront,Horn Front,Horn Front,角 前,角 前,Horn vorne,Frente de bocina,Corne avant,Horn Front,角 前,뿔 (앞),Рога спереди,Chifre Frontal,Ріговий фронт,Corno anteriore,เขาด้านหน้า,Ön Boynuz,Horn Front
Mecha,Mecha,Mecha,机械,機械,Mecha,mecha,Mécha,Mecha,メカ,메카,Меха,Mecha,Меха,Mecca,ส่วนหุ่นยนต์,Meka,Mecha
OutfitInnerCollar,Outfit Collar Inner,Outfit Collar Inner,服装 领子 里侧,服裝 領子 內側,Outfit-Kragen innen,Interior del cuello del traje.,Tenue Col Intérieur,Outfit gallér belső,襟 内側,의상 옷깃 안쪽,Воротник одежды,Gola,Внутрішній комір наряду,Colletto interno per outfit,ปกเสื้อด้านใน,Kıyafet Yakası,Outfit Krage Inner
OutfitInner,Outfit Inner,Outfit Inner,服装 里侧,服裝 內側,Outfit innen,Conjunto interior,Tenue intérieure,Outfit belső,服 内側,의상,Плечевая одежда,Roupa Interior,Наряд Внутрішній,Abito interno,ชุดด้านใน,Kıyafet İçi,Outfit Inner
OutfitOuter,Outfit Outer,Outfit Outer,服装 外侧,服裝 外側,Outfit außen,Traje exterior,Tenue extérieure,Outfit Outer,服 外側,겉옷,Верхняя одежда,Roupa Exterior,Одяг Зовнішній,Vestito esterno,ชุดด้านนอก,Kıyafet Dışı,Outfit yttre
NeckwearA,Outfit Neckwear A,Outfit Neckwear A,服装 颈部装饰 A,服裝 頸部裝飾 A,Outfit Halsschmuck A,Traje Corbatas A,Tenue Cravate A,Outfit Neckwear A,首の衣装A,목장식 A,Галстук А,Acessório de Pescoço A,Одяг Одяг А,Completo cravatta A,เครื่องประดับคอ A,Boyun Takıları A,Outfit Neckwear A
NeckwearB,Outfit Neckwear B,Outfit Neckwear B,服装 颈部装饰 B,服裝 頸部裝飾 B,Outfit Halsschmuck B,Conjunto Corbatas B,Tenue Cravate B,Outfit Neckwear B,首の衣装B,목장식 B,Галстук Б,Acessório de Pescoço B,Одяг для шиї B,Completo cravatta B,เครื่องประดับคอ B,Boyun Takıları B,Outfit Neckwear B
NeckwearC,Outfit Neckwear C,Outfit Neckwear C,服装 颈部装饰 C,服裝 頸部裝飾 C,Outfit Halsschmuck C,Conjunto Corbatas C,Tenue Cravate C,Outfit Neckwear C,首の衣装C,목장식 C,Галстук C,Acessório de Pescoço C,Одяг нашийник C,Completo di cravatte C,เครื่องประดับคอ C,Boyun Takıları C,Outfit Neckwear C
SideHairBranchLeftA,Hair Side Branch >> A,Hair Side Branch >> A,头发 侧面分叉 >> A,頭髮 側面分叉 >> A,Haarseitenzweig >> A,Rama lateral del cabello >> A,Branche latérale des cheveux >> A,Haj oldalág >> A,横髪 ハネ >> A,옆머리 가닥 >> A,Боковая прядь волос >> A,Mechas Laterais do Cabelo >> A,Бокова гілка волосся >> А,Ramo laterale dei capelli >> A,ปอยผมด้านหลัง A >>,Boyun Takıları >> A,Hårsidogren >> A
SideHairBranchLeftB,Hair Side Branch >> B,Hair Side Branch >> B,头发 侧面分叉 >> B,頭髮 側面分叉 >> B,Haarseitenzweig >> B,Rama lateral del cabello >> B,Branche latérale des cheveux >> B,Haj oldalág >> B,横髪 ハネ >> B,옆머리 가닥 >> B,Боковая прядь волос >> B,Mechas Laterais do Cabelo >> B,Бокова гілка волосся >> B,Ramo laterale dei capelli >> B,ปอยผมด้านหลัง B >>,Yan Saç Kalkıklığı >> B,Hårsidogren >> B
SideHairBranchLeftC,Hair Side Branch >> C,Hair Side Branch >> C,头发 侧面分叉 >> C,頭髮 側面分叉 >> C,Haarseitenzweig >> C,Rama lateral del cabello >> C,Branche latérale des cheveux >> C,Haj oldalág >> C,横髪 ハネ >> C,옆머리 가닥 >> C,Боковая прядь волос >> C,Mechas Laterais do Cabelo >> C,Бокова гілка волосся >> C,Ramo laterale dei capelli >> C,ปอยผมด้านหลัง C >>,Yan Saç Kalkıklığı >> C,Hårsidogren >> C
SideHairBranchRightA,Hair Side Branch << A,Hair Side Branch << A,头发 侧面分叉 << A,頭髮 側面分叉 << A,Haarseitenzweig << A,Rama lateral del cabello << A,Branche latérale des cheveux << A,Haj oldalág << A,横髪 ハネ << A,옆머리 가닥 << A,Боковая прядь волос << A,Mechas Laterais do Cabelo << A,Бокова гілка волосся << A,Ramo laterale dei capelli << A,ปอยผมด้านหลัง A <<,Yan Saç Kalkıklığı << A,Hårsidogren << A
SideHairBranchRightB,Hair Side Branch << B,Hair Side Branch << B,头发 侧面分叉 << B,頭髮 側面分叉 << B,Haarseitenzweig << B,Rama lateral del cabello << B,Branche latérale des cheveux << B,Haj oldalág << B,横髪 ハネ << B,옆머리 가닥 << B,Боковая прядь волос << B,Mechas Laterais do Cabelo << B,Бокова гілка волосся << B,Ramo laterale dei capelli << B,ปอยผมด้านหลัง B <<,Yan Saç Kalkıklığı << B,Hårsidogren << B
SideHairBranchRightC,Hair Side Branch << C,Hair Side Branch << C,头发 侧面分叉 << C,頭髮 側面分叉 << C,Haarseitenzweig << C,Rama lateral del cabello << C,Branche latérale des cheveux << C,Haj oldalág << C,横髪 ハネ << C,옆머리 가닥 << C,Боковая прядь волос << C,Mechas Laterais do Cabelo << C,Бокова гілка волосся << C,Ramo laterale dei capelli << C,ปอยผมด้านหลัง C <<,Yan Saç Kalkıklığı << C,Hårsidogren << C
Tail,Tail,Tail,尾巴,尾巴,Schwanz,Cola,Queue,Farok,しっぽ,꼬리,Хвост,Rabo,хвіст,Coda,หาง,Kuyruk,Svans
Wing,Wing,Wing,翅膀,翅膀,Flügel,Ala,Aile,Szárny,翼,날개,Крыло,Asa,Крило,Ala,ปีก,Kanatlar,Vinge
FacialHairA,Facial Hair A,Facial Hair A,胡子 A,鬍子 A,Gesichtsbehaarung A,Vello facial A,Poils du visage A,Arcszőrzet A,ひげA,얼굴 털 A,Волосы на лице А,Pêlos faciais A,Волосся на обличчі А,Peli sul viso A,ขนบนใบหน้า A,Sakal A,Ansiktshår A
FacialHairB,Facial Hair B,Facial Hair B,胡子 B,鬍子 B,Gesichtsbehaarung B,Vello facial B,Poils du visage B,Arcszőrzet B,ひげB,수염 B,Волосы на лице Б,Pêlos faciais B,Волосся на обличчі Б,Peli sul viso B,ขนบนใบหน้าบี,Sakal B,Ansiktshår B
Cheek,Cheek,Cheek,脸颊,臉頰,Wange,Mejilla,Joue,Pofa,頬,볼,Щека,Bochecha,щока,Guancia,แก้ม,Yanak,Kind
FaceFeatureAL,Face Feature A >>,Face Feature A >>,脸部特征 A >>,臉部特徵 A >>,Gesichtsmerkmal A >>,Característica de la cara A >>,Caractéristique du visage A >>,Arcvonás A >>,顔の特徴A >>,얼굴 특징 A >>,Черта лица А >>,Característica facial A >>,Риса обличчя А >>,Caratteristica del viso A >>,ลักษณะใบหน้า A >>,Yüz Özelliği A >>,Ansiktsfunktion A >>
FaceFeatureAR,Face Feature A <<,Face Feature A <<,脸部特征 A <<,臉部特徵 A <<,Gesichtsmerkmal A <<,Característica de la cara A <<,Caractéristique du visage A <<,Arcvonás A <<,顔の特徴 A <<,얼굴 특징 A <<,Черта лица A <<,Característica facial A <<,Риса обличчя A <<,Caratteristica del viso A <<,ลักษณะใบหน้า A <<,Yüz Özelliği A <<,Ansiktsfunktion A <<
FaceFeatureBL,Face Feature B >>,Face Feature B >>,脸部特征 B >>,臉部特徵 B >>,Gesichtsmerkmal B >>,Característica de la cara B >>,Caractéristique du visage B >>,B arcvonás >>,顔の特徴B >>,얼굴 특징 B >>,Черта лица B >>,Característica facial B >>,Риса обличчя B >>,Caratteristica del viso B >>,ลักษณะใบหน้า B >>,Yüz Özelliği B >>,Ansiktsfunktion B >>
FaceFeatureBR,Face Feature B <<,Face Feature B <<,脸部特征 B <<,臉部特徵 B <<,Gesichtsmerkmal B <<,Característica de la cara B <<,Caractéristique du visage B <<,B arcvonás <<,顔の特徴 B <<,얼굴 특징 B <<,Характеристика лица B <<,Característica facial B <<,Риса обличчя B <<,Caratteristica del viso B <<,ลักษณะใบหน้า B <<,Yüz Özelliği B <<,Ansiktsfunktion B <<
FaceFeatureC,Face Feature C,Face Feature C,脸部特征 C,臉部特徵 C,Gesichtsmerkmal C,Característica de la cara C,Caractéristique du visage C,Arcvonás C,顔の特徴 C,얼굴 특징 C,Характеристика лица C,Característica facial C,Особливість обличчя C,Caratteristica del viso C,ลักษณะใบหน้า C,Yüz Özelliği C,Ansiktsfunktion C
Nose,Nose,Nose,鼻子,鼻子,Nase,Nariz,Nez,Orr,鼻,코,Нос,Nariz,ніс,Naso,จมูก,Burun,Näsa
EarringLeft,Earring >>,Earring >>,耳环 >>,耳環 >>,Ohrring >>,Pendiente >>,Boucle d'oreille >>,Fülbevaló >>,イヤリング >>,귀걸이 >>,Серьги >>,Brinco >>,Сережка >>,Orecchino >>,ต่างหู >>,Küpe >>,Örhänge >>
EarringRight,Earring <<,Earring <<,耳环 <<,耳環 <<,Ohrring <<,Pendiente <<,Boucle d'oreille <<,Fülbevaló <<,イヤリング <<,귀걸이 <<,Серьга <<,Brinco <<,Сережка <<,Orecchino <<,ต่างหู <<,Küpe <<,Örhänge <<
PiercingALeft,Piercing A >>,Piercing A >>,耳钉A >>,耳釘A >>,Piercing A >>,Perforación A >>,Piercing A >>,Piercing A >>,ピアスA >>,피어싱 A >>,Пирсинг А >>,Perfuração A >>,Пірсинг А >>,Perforare A >>,เจาะเอ >>,Delici A >>,Piercing A >>
PiercingARight,Piercing A <<,Piercing A <<,耳钉 A <<,耳釘 A <<,Piercing A <<,Perforando A <<,Perçage A <<,Piercing A <<,ピアスA <<,피어싱 A <<,Пирсинг А <<,Perfuração A <<,Пірсинг A <<,Perforare A <<,เจาะเอ <<,Delici A <<,Piercing A <<
PiercingBLeft,Piercing B >>,Piercing B >>,耳钉 B >>,耳釘 B >>,Piercing B >>,Perforación B >>,Perçage B >>,Piercing B >>,ピアスB >>,피어싱 B >>,Пирсинг Б >>,Perfuração B >>,Пірсинг B >>,Perforazione B >>,เจาะบี >>,Delici B >>,Piercing B >>
PiercingBRight,Piercing B <<,Piercing B <<,耳钉 B <<,耳釘 B <<,Piercing B <<,Perforación B <<,Perçage B <<,Piercing B <<,ピアスB <<,피어싱 B <<,Пирсинг Б <<,Perfuração B <<,Пірсинг Б <<,Perforare B <<,เจาะบี <<,Delici B <<,Piercing B <<
Hand,Hand,Hand,手,手,Hand,Mano,Main,Kéz,手,손,Рука,Mão,Рука,Mano,มือ,El,Hand
Leg,Leg,Leg,腿,腿,Bein,Pierna,Jambe,Láb,脚,다리,Нога,Perna,ніжка,Gamba,ขา,Bacak,Ben
CapeBack,Cape Back,Cape Back,披风 后,披風 後,Cape zurück,Cabo trasero,Cape Retour,Cape Back,ケープバック,케이프 백,Мыс Назад,Cabo de volta,Мис Назад,Capo Indietro,เคปแบ็ค,Pelerin Sırtı,Cape Back
CapeFront,Cape Front,Cape Front,披风 前,披風 前,Kapfront,Frente del Cabo,Cap Front,Cape Front,ケープフロント,케이프 프론트,Мыс Фронт,Frente do Cabo,Капський фронт,Capo anteriore,แหลมหน้า,Cape Önü,Cape Front
