Key,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru,pt-br,uk,it,th,tr,sv
MainMenu.TabHeaderLable.Editor,Editor,编辑器,編輯器,Editor,Editor,Éditeur,Szerkesztő,エディター,편집기,Редактор,Editor,редактор,Editore,Editor,Editör,Redaktör
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.",您确定要删除角色“{0}”吗？此操作不可撤销。,您確定要刪除角色“{0}”嗎？此操作無法復原。,"Bist du sicher, dass du den Charakter „{0}“ löschen möchtest? Diese Aktion kann nicht rückgängig gemacht werden.","¿Confirmas que quieres eliminar el personaje ""{0}""? Esta acción no se puede deshacer.","Êtes-vous sûr de vouloir supprimer le caractère ""{0}"" ? Cette action ne peut pas être annulée.","Biztosan törölni szeretné a(z) ""{0}"" karaktert? Ez a művelet nem vonható vissza.",キャラクター「{0}」を削除しますか？この操作は元に戻せません。,"""{0}"" 캐릭터를 삭제하시겠습니까? 이 작업은 되돌릴 수 없습니다.","Вы уверены, что хотите удалить символ ""{0}""? Это действие невозможно отменить.","Você tem certeza que quer excluir o personagem ""{0}""? Essa ação não pode ser desfeita.","Ви впевнені, що бажаєте видалити символ ""{0}""? Цю дію не можна скасувати.","Sei sicuro di voler eliminare il carattere ""{0}""? Questa azione non può essere annullata.","คุณแน่ใจหรือไม่ว่าต้องการลบตัวละคร ""{0}""? การกระทำนี้จะไม่สามารถย้อนกลับมาแก้ไขได้","""{{0}“ isimli karakteri silmek istediğinizden emin misiniz? Bu karar geri alınamaz.","Är du säker på att du vill ta bort tecknet ""{0}""? Denna åtgärd kan inte ångras."
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.",角色“{0}”已存在。您确定要覆盖角色“{0}”吗？此操作不可撤销。,角色“{0}”已存在。您確定要覆蓋角色“{0}”嗎？此操作無法復原。,"Der Charakter „{0}“ ist bereits vorhanden. Bist du sicher, dass du den Charakter „{0}“ überschreiben möchtest? Diese Aktion kann nicht rückgängig gemacht werden.","El personaje ""{0}"" ya existe. ¿Quieres sobreescribir el personaje ""{0}""? Esta acción no se puede deshacer.","Le caractère ""{0}"" existe déjà. Êtes-vous sûr de vouloir remplacer le caractère « {0} » ? Cette action ne peut pas être annulée.","A(z) ""{0}"" karakter már létezik. Biztosan felül szeretné írni a(z) ""{0}"" karaktert? Ez a művelet nem vonható vissza.",キャラクター「{0}」はすでに存在します。上書きしますか？この操作は元に戻せません。,"캐릭터 ""{0}""이(가) 이미 존재합니다. ""{0}"" 캐릭터를 덮어쓰시겠습니까? 이 작업은 되돌릴 수 없습니다.","Персонаж ""{0}"" уже существует. Вы уверены, что хотите перезаписать символ ""{0}""? Это действие невозможно отменить.","O personagem ""{0}"" já existe. Você tem certeza que quer sobrescrever o personagem ""{0}""? Essa ação não poderá ser desfeita.","Символ ""{0}"" уже існує. Ви впевнені, що бажаєте перезаписати символ ""{0}""? Цю дію не можна скасувати.","Il carattere ""{0}"" esiste già. Sei sicuro di voler sovrascrivere il carattere ""{0}""? Questa azione non può essere annullata.","คุณมีตัวละคร ""{0}"" อยู่แล้ว คุณแน่ใจหรือไม่ว่า ต้องการบันทึกทับตัวละคร ""{0}""? การกระทำนี้ไม่สามารถย้อนกลับมาแก้ไขได้","""{0}“ İsimli karakter halihazırda mevcut. „{0}“ isimli karakterin üstüne yazmak istediğinizden emin misiniz? Bu karar geri alınamaz.","Tecknet ""{0}"" finns redan. Är du säker på att du vill skriva över tecknet ""{0}""? Denna åtgärd kan inte ångras."
MainMenu.Confirm,Confirm,确认,確認,Bestätigen,Confirmar,Confirmer,Erősítse meg,確認,확인,Подтверждать,Confirmar,Підтвердити,Confermare,ยืนยัน,Onayla,Bekräfta
MainMenu.Cancel,Cancel,取消,取消,Abbrechen,Cancelar,Annuler,Mégse,キャンセル,취소,Отмена,Cancelar,Скасувати,Cancellare,ยกเลิก,İptal et,Avboka
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,请输入角色名：,請輸入角色名：,Bitte gib einen Charakternamen ein:,Por favor ingresa el nombre del personaje:,Veuillez saisir un nom de personnage :,"Kérjük, írjon be egy karakternevet:",キャラクター名を入力してください,캐릭터 이름을 입력해주세요:,"Пожалуйста, введите имя персонажа:",Por favor coloque um nome para o personagem:,"Будь ласка, введіть ім'я персонажа:",Inserisci il nome del personaggio:,โปรดป้อนชื่อตัวละคร:,Lütfen bir karakter ismi giriniz.,Vänligen ange ett teckennamn:
MainMenu.Editor.Model,Models,模型,模型,Modelle,Modelos,Modèles,Modellek,モデル,모델,Модели,Modelos,Моделі,Modelli,โมเดล,Modeller,Modeller
MainMenu.Editor.Character,Character,角色,角色,Charakter,Personaje,Personnage,Karakter,キャラクター,캐릭터,Характер,Personagem,персонаж,Carattere,ตัวละคร,Karakter,Karaktär
MainMenu.Editor.Animation,Animation,动画,動畫,Animation,Animación,Animation,Animáció,アニメーション,애니메이션,Анимация,Animação,Анімація,Animazione,แอนิเมชัน,Animasyon,Animation
MainMenu.Editor.PartsSelection,Choose Parts,部件选择,部件選擇,Teile auswählen,Elije las partes,Choisir des pièces,Válassza az Alkatrészek lehetőséget,パーツ選択,파츠 선택,Выберите детали,Escolha partes,Виберіть частини,Scegli Parti,เลือกชิ้นส่วน,Bölüm Seç,Välj delar
MainMenu.Editor.PartsAdjustment,Adjustment,部件调整,部件調整,Einstellung,Ajustes,Ajustement,Beállítás,調整,세부 조정,Корректирование,Ajuste,коригування,Regolazione,การแก้ไข,Düzenleme,Justering
MainMenu.Search,Search...,搜索……,搜尋……,Suchen...,Buscar...,Recherche...,Keresés...,検索…,검색...,Поиск...,Pesquisar...,пошук...,Ricerca...,ค้นหา...,Ara...,Söka...
MainMenu.Editor.SaveCharacter,Save Character,保存角色,儲存角色,Charakter speichern,Guardar personaje,Enregistrer le personnage,Karakter mentése,キャラクターを保存,캐릭터 저장,Сохранить персонажа,Salvar personagem,Зберегти символ,Salva personaggio,บันทึกตัวละคร,Karakteri Kaydet,Spara tecken
MainMenu.Editor.Unload,Clear Character,重置角色,重置角色,Charakter zurücksetzen,Limpiar personaje,Caractère clair,Tiszta karakter,キャラクターを初期化,캐릭터 초기화,Ясный характер,Limpar personagem,Чіткий характер,Carattere chiaro,ล้างตัวละคร,Karakteri Sıfırla,Tydlig karaktär
MainMenu.Editor.DeleteCharacter,Delete Character,删除角色,刪除角色,Charakter löschen,Eliminar personaje,Supprimer un personnage,Karakter törlése,キャラクターを削除,캐릭터 삭제,Удалить персонажа,Deletar personagem,Видалити символ,Elimina carattere,ลบตัวละคร,Karakteri Sil,Ta bort tecken
MainMenu.Editor.UseCustomTextures,Use Custom Textures,使用自定义贴图,使用自訂貼圖,Benutzerdefinierte Texturen verwenden,Utilizar texturas personalizadas,Utiliser des textures personnalisées,Egyéni textúrák használata,カスタムテクスチャを使用,사용자 정의 텍스처 사용,Используйте пользовательские текстуры,Usar Texturas Customizadas,Використовуйте спеціальні текстури,Usa texture personalizzate,ใช้ Custom Texture,Özel Doku Kullan,Använd anpassade texturer
MainMenu.Editor.ReloadTextures,Reload Textures,重新加载贴图,重新載入貼圖,Texturen neu laden,Recargar texturas,Recharger les textures,Textúrák újratöltése,テクスチャを再読み込み,텍스처 다시 불러오기,Перезагрузить текстуры,Recarregar Texturas,Перезавантажити текстури,Ricarica le texture,โหลด Texture ใหม่,Dokuları Yinele,Ladda om texturer
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,打开自定义贴图文件夹,開啟自訂貼圖資料夾,Ordner für benutzerdefinierte Texturen öffnen,Abrir carpeta de texturas personalizada,Ouvrir le dossier de textures personnalisées,Nyissa meg az Egyéni textúra mappát,カスタムテクスチャフォルダを開く,사용자 정의 텍스처 폴더 열기,Открыть папку с пользовательскими текстурами,Abrir Pasta Com Texturas Customizadas,Відкрийте папку Custom Texture,Apri la cartella Texture personalizzata,เปิดโฟลเดอร์ Custom Texture,Özel Doku Klasörünü Aç,Öppna anpassad texturmapp
MainMenu.Editor.Color,Color,颜色,顏色,Farbe,Color,Couleur,Szín,色,색상,Цвет,Cor,Колір,Colore,สี,Renk,Färg
MainMenu.Editor.TintColor,TintColor,浅色,淺色,Tönungsfarbe,TintedeColor,TeinteCouleur,TintColor,色合い,바탕 색상,ОттенокЦвет,CorDaMatiz,TintColor,TintaColore,สีย้อม,Ana Renk,TintColor
MainMenu.Editor.TintBlackColor,TintBlackColor,深色,深色,Dunkle Tönungsfarbe,TinteColorNegro,TeinteNoirCouleur,TintBlackColor,黒の色合い,선화 색상,ОттенокЧерныйЦвет,CorDaMatizPreto,TintBlackColor,TintaNeroColore,สีย้อมดำ,Alt Renk,NyansSvartFärg
MainMenu.Editor.LICENSE,LICENSE,使用条款,使用條款,LIZENZ,LICENCIA,LICENCE,ENGEDÉLY,ライセンス,라이선스,ЛИЦЕНЗИЯ,LICENÇA,ЛІЦЕНЗІЯ,LICENZA,ใบอนุญาตซอฟต์แวร์ (LICENSE),LİSANS,LICENS
MainMenu.Editor.AssetTypeAA,Default Assets,内置模型,內建模型,Standard-Assets,Texturas Predeterminadas,Actifs par défaut,Alapértelmezett eszközök,標準アセット,기본 에셋,Активы по умолчанию,Assets Padrão,Активи за замовчуванням,Asset predefiniti,Default Assets,Standart İçerikler,Standardtillgångar
MainMenu.Editor.AssetTypeSA,Third-Party Assets,第三方模型,第三方模型,Drittanbieter-Assets,Texturas de Terceros,Actifs de tiers,Harmadik féltől származó eszközök,外部アセット,외부 에셋,Сторонние активы,Assets de Terceiros,Активи третіх сторін,Beni di terzi,Asset ของบุคคลที่สาม,Üçüncü Parti İçerikler,Tredjepartstillgångar
MainMenu.Editor.CharacterPopup.CharacterNameEmpty,Name cannot be empty.,角色名不得为空。,角色名不得為空。,Der Name darf nicht leer sein.,El nombre no puede estar vacío.,Le nom ne peut pas être vide.,A név nem lehet üres.,名前は空にできません,이름은 비워둘 수 없습니다.,Имя не может быть пустым.,O nome não pode estar vazio.,Назва не може бути пустою.,Il nome non può essere vuoto.,ชื่อต้องไม่ว่างเปล่า,İsim boş bırakılamaz.,Namnet får inte vara tomt.
MainMenu.Editor.CharacterPopup.CharacterNameLength,Name cannot exceed {0} characters.,角色名不得超过{0}个字符。,角色名不得超過{0}個字元。,Der Name darf nicht länger als {0} Zeichen sein.,El nombre no puede exceder los {0} caracteres.,Le nom ne peut pas dépasser {0} caractères.,A név nem haladhatja meg a {0} karaktert.,名前は{0}文字以内で入力してください,이름은 {0}자를 초과할 수 없습니다.,Имя не может превышать {0} символов.,O nome não pode exceder {0} caracteres.,Назва не може перевищувати {0} символів.,Il nome non può contenere più di {0} caratteri.,ชื่อต้องไม่เกิน {0} ตัวอักษร,"İsim, {0} harfi geçemez.",Namnet får inte överstiga {0} tecken.
MainMenu.Editor.CharacterPopup.CharacterNameInvalidCharacter,"Name cannot contain the character ""{0}"".",角色名不得包含特殊字符“{0}”。,角色名不得包含特殊字元“{0}”。,Der Name darf das Zeichen „{0}“ nicht enthalten.,"El nombre no puede contener el carácter ""{0}"".","Le nom ne peut pas contenir le caractère ""{0}"".","A név nem tartalmazhatja a ""{0}"" karaktert.",名前に「{0}」は使用できません,"이름에는 ""{0}"" 문자를 포함할 수 없습니다.",Имя не может содержать символ «{0}».,"O nome não pode conter o caractere ""{0}"".","Назва не може містити символ ""{0}"".","Il nome non può contenere il carattere ""{0}"".","ชื่อต้องไม่มีอักขระ ""{0}""","İsimde ""{0}“ sembolü olamaz.","Namnet får inte innehålla tecknet ""{0}""."
MainMenu.Editor.CharacterPopup.CharacterNameReserved,"""{0}"" is a reserved name and cannot be used.",“{0}”是系统保留关键词，不能作为角色名。,“{0}”是系統保留關鍵詞，不能作爲角色名。,„{0}“ ist ein reservierter Name und kann nicht verwendet werden.,"""{0}"" es un nombre reservado y no se puede utilizar.","""{0}"" est un nom réservé et ne peut pas être utilisé.","""{0}"" egy lefoglalt név, és nem használható.",「{0}」は予約済みキーワードのため使用できません,"""{0}""은(는) 사용 중인 이름이므로 사용할 수 없습니다.","«{0}» — зарезервированное имя, и его нельзя использовать.","O nome ""{0}"" é reservado e não pode ser usado.","""{0}"" є зарезервованою назвою, і її не можна використовувати.","""{0}"" è un nome riservato e non può essere utilizzato.","""{0}"" เป็นชื่อที่สงวนไว้และไม่สามารถใช้งานได้","""{0}“ ismi rezerve bir isimdir ve kullanılamaz.","""{0}"" är ett reserverat namn och kan inte användas."
MainMenu.Editor.CharacterPopup.CharacterNameEndWithDot,Name cannot end with a dot.,角色名不能以点结尾。,角色名不能以點結尾。,Der Name darf nicht mit einem Punkt enden.,El nombre no puede terminar con un punto.,Le nom ne peut pas se terminer par un point.,A név nem végződhet ponttal.,名前をドットで終えることはできません,이름은 마침표(.)로 끝날 수 없습니다.,Имя не может заканчиваться точкой.,O nome não pode terminar com um ponto.,Назва не може закінчуватися крапкою.,Il nome non può terminare con un punto.,ชื่อต้องไม่ลงท้ายด้วยจุด,İsim nokta ile bitemez.,Namnet kan inte sluta med en punkt.
MainMenu.Editor.CharacterPopup.CharacterNameOnlySpaces,Name cannot contain only spaces.,角色名不能只包含空格。,角色名不能只包含空格。,Der Name darf nicht nur Leerzeichen enthalten.,El nombre no puede contener solo espacios.,Le nom ne peut pas contenir uniquement des espaces.,A név nem tartalmazhat csak szóközt.,名前を空白のみにはできません,이름을 공백으로만 설정할 수 없습니다.,Имя не может содержать только пробелы.,O nome não pode conter apenas espaços.,Назва не може містити лише пробіли.,Il nome non può contenere solo spazi.,ชื่อต้องไม่ประกอบด้วยช่องว่างเพียงอย่างเดียว,İsim sadece boşluktan oluşamaz.,Namn får inte bara innehålla mellanslag.
MainMenu.Editor.UnloadCurrentModel,Unload Current Model,关闭当前模型,關閉當前模型,Aktuelles Modell entladen,Dejar de usar modelo actual,Décharger le modèle actuel,Töltse ki az aktuális modellt,モデルの読み込みを解除,현재 모델 닫기,Выгрузить текущую модель,Descarregar modelo atual,Вивантажити поточну модель,Scarica il modello corrente,Unload โมเดลปัจจุบัน,Ekrandaki modeli kaldır,Lossa aktuell modell
MainMenu.Settings.GeneralSettings,General Settings,一般设置,一般設定,Allgemeine Einstellungen,Configuraciones generales,Paramètres généraux,Általános beállítások,一般設定,일반 설정,Общие настройки,Configurações gerais,Загальні налаштування,Impostazioni generali,การตั้งค่าทั่วไป,Genel Ayarlar,Allmänna inställningar
MainMenu.Settings.GeneralSettings.Language,Language,语言,語言,Sprache,Idioma,Langue,Nyelv,言語,언어,Язык,Língua,Мова,Lingua,ภาษา,Dil,Språk
MainMenu.Settings.ViewportSettings,Viewport Settings,视窗设置,視窗設定,Vorschau-Einstellungen,Configuración de la ventana gráfica,Paramètres de la fenêtre,Nézetablak beállításai,ビューポート設定,작업 화면 설정,Настройки видового экрана,Configurações de visualização,Налаштування вікна перегляду,Impostazioni della vista,การตั้งค่า Viewport,Model Alanı Tuş Ayarları,Viewport-inställningar
MainMenu.Settings.ViewportSettings.ViewportZoomSpeed,Zoom Speed,模型缩放速度,模型縮放速度,Zoomgeschw.,Velocidad de zoom,Vitesse de zoom,Zoom Speed,ズーム速度,확대/축소 속도,Скорость масштабирования,Velocidade do Zoom,Швидкість масштабування,Velocità dello zoom,ความเร็วในการ Zoom,Yakınlaştırma Hızı,Zoomhastighet
MainMenu.Settings.ViewportSettings.ViewportRotationSpeed,Rotation Speed,模型旋转速度,模型旋轉速度,Rotationsgeschw.,Velocidad de rotación,Vitesse de rotation,Forgási sebesség,回転速度,회전 속도,Скорость вращения,Velocidade de rotação,Швидкість обертання,Velocità di rotazione,ความเร็ว Rotation,Döndürme Hızı,Rotationshastighet
MainMenu.Settings.ViewportSettings.ModelScale,Model Scale,模型尺寸,模型尺寸,Modellmaßstab,Escala del model,Échelle du modèle,Modell skála,モデルスケール,모델 크기,Масштаб модели,Escala do modelo,Масштаб моделі,Scala del modello,Model Scale,Modele Odakla,Modellskala
MainMenu.Settings.ViewportSettings.ModelOffsetHorizontal,Offset Horizontal,位置水平偏移,位置水平偏移,Horizontaler Versatz,Desplazamiento horizontal,Décalage horizontal,Eltolás Vízszintes,水平オフセット,수평 오프셋,Смещение по горизонтали,Deslocamento horizontal,Зміщення по горизонталі,Scostamento orizzontale,Offset แนวนอน,Yatay Ofset,Offset horisontell
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,位置垂直偏移,位置垂直偏移,Vertikaler Versatz,Desplazamiento vertical,Décalage vertical,Függőleges eltolás,垂直オフセット,수직 오프셋,Смещение по вертикали,Deslocamento vertical,Зміщення по вертикалі,Offset verticale,Offset แนวตั้ง,Dikey Ofset,Offset Vertikal
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,重置视窗设置,重置視窗設定,Vorschau-Einstellungen zurücksetzen,Restablecer la configuración de la ventana gráfica,Réinitialiser les paramètres de la fenêtre,Állítsa vissza a nézetablak beállításokat,ビューポート設定をリセット,작업 화면 설정 초기화,Сбросить настройки видового экрана,Resetar opções de visualização,Скинути налаштування вікна перегляду,Ripristina le impostazioni della vista,รีเซ็ตการตั้งค่า Viewport,Model Alanı Tuş Ayarlarını Sıfırla,Återställ Viewport Settings
MainMenu.Settings.ExportSettings,Animation Export Settings,动画输出设置,動畫匯出設定,Animationsexport-Einstellungen,Configuración de exportación de animación,Paramètres d'exportation d'animations,Animáció exportálási beállításai,アニメーション書き出し設定,애니메이션 저장 설정,Настройки экспорта анимации,Opções de exportação de animação,Параметри експорту анімації,Impostazioni di esportazione dell'animazione,การตั้งค่า Animation Export,Animasyon Dışarı Aktarma Ayarları,Animation Export Settings
MainMenu.Settings.ExportSettings.SaveLocation,Save Location,保存位置,儲存位置,Speicherort,Ubicación de guardado,Enregistrer l'emplacement,Hely mentése,保存先,저장 경로,Сохранить местоположение,Local de salvamento,Зберегти місцезнаходження,Salva posizione,ตำแหน่งการบันทึก,Kayıt Lokasyonu,Spara plats
MainMenu.Settings.ExportSettings.ExportPresets,Export Presets,输出预置,匯出預設,Voreinstellungen,Exportar ajustes preestablecidos,Exporter les préréglages,Előbeállítások exportálása,書き出しプリセット,프리셋 내보내기,Экспорт пресетов,Exportar predefinições,Експорт пресетів,Esporta preimpostazioni,Export Presets,Dışa Aktarım Ön Ayarları,Exportera förinställningar
MainMenu.Settings.ExportSettings.Encoder,Encoder,编码器,編碼器,Encoder,Codificador,Encodeur,Kódoló,エンコーダー,인코더,Кодер,Codificador,Кодувальник,Codificatore,Encoder,Encoder,Encoder
MainMenu.Settings.ExportSettings.Width,Width,宽度,寬度,Breite,Ancho,Largeur,Szélesség,幅,너비,Ширина,Largura,Ширина,Larghezza,ความกว้าง,Genişlik,Bredd
MainMenu.Settings.ExportSettings.Height,Height,高度,高度,Höhe,Altura,Hauteur,Magasság,高さ,높이,Высота,Altura,Висота,Altezza,ความสูง,Yükseklik,Höjd
MainMenu.Settings.ExportSettings.FPS,FPS,帧率,幀率,FPS,FPS,FPS,FPS,FPS,FPS,ФПС,FPS,FPS,FPS,FPS,FPS,FPS
